"INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"Alabama A & M University","AL","SE",0.8986,4990,22489,31000,25200,15000,0.2531554273,0.2219053052,0.293029872,0.3375394322,0.2533,0.3502,0.5978,FALSE
"University of Alabama at Birmingham","AL","SE",0.9211,13186,24347,41200,35100,15000,0.513963161,0.468220339,0.5339251744,0.5827338129,0.5567,0.5692,0.8303,FALSE
"Amridge University","AL","SE",,351,17680,39600,30700,13207,0.2307692308,0.1661721068,,,0.2941,,,FALSE
"University of Alabama in Huntsville","AL","SE",0.8087,7458,23441,46700,36200,14000,0.5485090298,0.4616096207,0.5753623188,0.6721311475,0.502,0.5226,0.8269,FALSE
"Alabama State University","AL","SE",0.9774,3903,21476,27700,22600,18950,0.2185867473,0.1950549451,0.2576112412,0.3319148936,0.2901,0.2823,0.5898,FALSE
"The University of Alabama","AL","SE",0.5906,32177,29424,44500,37400,17500,0.6019442985,0.4838445808,0.5830291971,0.7129411765,0.6998,0.6993,0.8748,FALSE
"Central Alabama Community College","AL","SE",,1211,8824,27700,23100,7968,0.2510056315,0.1945652174,0.367768595,0.5432098765,,,,FALSE
"Athens State University","AL","SE",,2732,,38700,33400,13500,0.5038167939,0.4180327869,0.5704584041,0.6346153846,,,,FALSE
"Auburn University at Montgomery","AL","SE",0.9281,4529,18291,33300,30100,12500,0.4418886199,0.3581661891,0.523054755,0.5979381443,0.3078,0.2678,0.676,FALSE
"Auburn University","AL","SE",0.7543,24147,31282,48800,39500,16380,0.7239612977,0.6148748159,0.7151724138,0.7892813642,0.7732,0.7606,0.9073,FALSE
"Birmingham-Southern College","AL","SE",0.5666,1265,52176,46700,33400,18794,0.7559912854,0.6517857143,0.7957746479,0.7853658537,0.6711,0.6473,0.7769,FALSE
"Chattahoochee Valley Community College","AL","SE",,1446,8750,28900,22300,7500,0.28125,0.2083333333,0.4387755102,0.4736842105,,,,FALSE
"South University-Montgomery","AL","SE",,321,29309,33400,26900,12667,0.2547585843,0.2105572789,0.3232935014,0.4912993039,0.1429,0.0465,0.3529,FALSE
"Enterprise State Community College","AL","SE",,1269,9262,31800,27000,5500,0.4260416667,0.3223570191,0.6015936255,0.5454545455,,,,FALSE
"Coastal Alabama Community College","AL","SE",,5494,12008,29100,23800,5500,0.3489905233,0.2648766328,0.4383753501,0.5044776119,,,,FALSE
"Faulkner University","AL","SE",0.5227,2079,33944,35400,29700,15500,0.3081623745,0.226127321,0.4011406844,0.5992217899,0.2797,0.2793,0.5611,FALSE
"Gadsden State Community College","AL","SE",,4147,10098,26700,21200,,,,,,,,,FALSE
"New Beginning College of Cosmetology","AL","SE",,83,,,,5500,0.4205607477,0.3506493506,,,,,,FALSE
"George C Wallace Community College-Dothan","AL","SE",,3746,9564,24700,21400,,,,,,,,,FALSE
"George C Wallace State Community College-Hanceville","AL","SE",,4569,10252,32200,26900,8250,0.4397394137,0.3292065279,0.5618945102,0.6675824176,,,,FALSE
"George C Wallace State Community College-Selma","AL","SE",,1104,13788,23300,19500,,,,,,,,,FALSE
"Herzing University-Birmingham","AL","SE",0.95,544,26128,37800,27900,12695,0.3041105434,0.2450605481,0.4267029973,0.5948103792,0.4717,,,FALSE
"Huntingdon College","AL","SE",0.5841,1078,35685,39900,32600,16000,0.5146036161,0.3838028169,0.5042016807,0.7157360406,0.3993,0.4016,0.6602,FALSE
"Heritage Christian University","AL","SE",,49,,,,,,,,,,,,FALSE
"J. F. Drake State Community and Technical College","AL","SE",,678,11123,23800,19100,,,,,,,,,FALSE
"J F Ingram State Technical College","AL","SE",,443,5580,,,,,,,,,,,FALSE
"Jacksonville State University","AL","SE",0.543,6394,20050,35800,28700,15999,0.4210392257,0.335290977,0.4752851711,0.5420054201,0.3976,0.3666,0.7472,FALSE
"Jefferson State Community College","AL","SE",,6937,13284,30600,26900,5250,0.4485852312,0.3510848126,0.525974026,0.6181015453,,,,FALSE
"John C Calhoun State Community College","AL","SE",,8270,9848,28000,24000,6000,0.38055344,0.2841344109,0.4966698382,0.5754189944,,,,FALSE
"Judson College","AL","SE",0.482,259,31735,26100,22200,10500,0.4702970297,0.4050632911,0.4302325581,0.7027027027,0.3333,0.3975,0.5973,FALSE
"Lawson State Community College","AL","SE",,2959,13735,23400,20000,,,,,,,,,FALSE
"University of West Alabama","AL","SE",0.3966,2152,20692,37400,26400,14250,0.3667296786,0.3224603914,0.415954416,0.5521472393,0.3219,0.2894,0.6386,FALSE
"Lurleen B Wallace Community College","AL","SE",,1267,14136,26500,22600,,,,,,,,,FALSE
"Marion Military Institute","AL","SE",0.5646,392,18568,42700,33100,5500,0.5924657534,0.5504587156,0.5357142857,0.6868686869,,,,FALSE
"Miles College","AL","SE",,1546,22828,26500,20900,14250,0.149776928,0.1319444444,0.1946902655,0.2179487179,0.2285,0.1986,0.5184,FALSE
"University of Mobile","AL","SE",0.4704,1294,35463,35200,29300,19500,0.4438722966,0.3203125,0.515037594,0.6735751295,0.4747,0.4728,0.7216,FALSE
"University of Montevallo","AL","SE",0.4848,2251,24411,34200,27500,17213,0.5173333333,0.4259259259,0.5694444444,0.6093189964,0.4971,0.4928,0.7675,FALSE
"Northwest-Shoals Community College","AL","SE",,2590,12255,25600,23300,6500,0.3611312545,0.2387543253,0.5552560647,0.6028368794,,,,FALSE
"University of North Alabama","AL","SE",0.6434,5741,18712,37800,28600,14250,0.516271595,0.431616341,0.552855407,0.637037037,0.4517,0.4335,0.7557,FALSE
"Northeast Alabama Community College","AL","SE",,1982,8840,27900,23600,3500,0.4630102041,0.39958159,0.539748954,0.6417910448,,,,FALSE
"Oakwood University","AL","SE",0.6589,1569,36361,29700,21800,21500,0.2837301587,0.2248908297,0.3147058824,0.3619047619,0.4736,0.4912,0.7063,FALSE
"Reid State Technical College","AL","SE",,261,8958,22000,21200,,,,,,,,,FALSE
"Bishop State Community College","AL","SE",,2440,10155,22800,19100,,,,,,,,,FALSE
"Samford University","AL","SE",0.8208,3524,46474,49900,37500,15500,0.7767548907,0.6519607843,0.7666666667,0.8481012658,0.7609,0.7411,0.8861,FALSE
"Selma University","AL","SE",,304,15822,,,7593,0.1179361179,0.1102362205,,,0.0198,0.0213,0.3263,FALSE
"Shelton State Community College","AL","SE",,3829,12070,27100,22700,,,,,,,,,FALSE
"Snead State Community College","AL","SE",,1872,11073,27800,22400,5000,0.3530701754,0.262987013,0.5508474576,0.5,,,,FALSE
"University of South Alabama","AL","SE",0.7931,10035,19835,37800,31500,16750,0.4695919938,0.3811011324,0.5098412698,0.6235849057,0.4213,0.4134,0.7604,FALSE
"Spring Hill College","AL","SE",0.6577,1252,51969,45100,33600,19500,0.6072013093,0.4703196347,0.6054054054,0.7536231884,0.554,0.5395,0.7535,FALSE
"Stillman College","AL","SE",0.3859,689,21314,28200,22800,12250,0.2526595745,0.2040816327,0.3301435407,0.3962264151,0.2844,0.2463,0.5967,FALSE
"Talladega College","AL","SE",,1208,22514,21900,20300,27090,0.1789181692,0.1583793738,,,0.3328,0.4036,0.6923,FALSE
"H Councill Trenholm State Community College","AL","SE",,1567,12383,23100,21800,,,,,,,,,FALSE
"Troy University","AL","SE",0.8767,13147,19180,37000,30400,15500,0.3498531898,0.2704735376,0.4398756047,0.6154506438,0.4076,0.3926,0.7142,FALSE
"Tuskegee University","AL","SE",0.5182,2529,39383,35500,28500,22053,0.4960173787,0.4684684685,0.5515695067,0.4721189591,0.4766,0.4694,0.6935,FALSE
"United States Sports Academy","AL","SE",,266,,,33600,12917,0.4436090226,0.397260274,,,,,,FALSE
"Bevill State Community College","AL","SE",,2825,13681,28100,23300,,,,,,,,,FALSE
"University of Alaska Anchorage","AK","West",0.8115,10482,19942,45400,36000,11000,0.5477396726,0.4488610987,0.6022592152,0.6548307184,0.2684,0.3196,0.6818,FALSE
"Alaska Bible College","AK","West",,37,24759,,,,,,,,,,,FALSE
"University of Alaska Fairbanks","AK","West",0.7611,4657,18510,38700,30700,11000,0.547265987,0.4225941423,0.5982905983,0.714,0.3082,0.4544,0.7536,FALSE
"University of Alaska Southeast","AK","West",0.6333,1216,16853,36000,31500,10720,0.5768645358,0.5051546392,0.5890410959,0.7006802721,0.2987,0.2664,0.7214,FALSE
"Alaska Pacific University","AK","West",0.8425,283,34990,40200,33200,15875,0.5701357466,0.3414634146,0.6829268293,0.7368421053,0.5455,0.5192,0.7971,FALSE
"Alaska Vocational Technical Center","AK","West",,855,,35300,37400,5500,0.686440678,0.5,,,,,,FALSE
"Charter College","WA","West",1,2853,35613,39800,27700,13000,0.3047679059,0.254443128,0.3931777379,0.5682656827,0.4845,0.1748,,FALSE
"Alaska Career College","AK","West",,415,,31200,25300,8167,0.4457236842,0.3605769231,0.6148148148,0.6666666667,,,,FALSE
"Empire Beauty School-Tucson","AZ","SW",,102,,20300,16200,8028,0.2879914984,0.2361733931,0.3736842105,0.512195122,,,,FALSE
"Carrington College-Phoenix North","AZ","SW",0.8951,475,,25400,25200,9166,0.3293361884,0.2785441738,0.4287200832,0.5860927152,,,,FALSE
"Carrington College-Mesa","AZ","SW",,541,,25400,25200,9166,0.3293361884,0.2785441738,0.4287200832,0.5860927152,,,,FALSE
"Carrington College-Tucson","AZ","SW",0.8736,227,,25400,25200,9166,0.3293361884,0.2785441738,0.4287200832,0.5860927152,,,,FALSE
"CollegeAmerica-Flagstaff","AZ","SW",,62,32164,23900,19500,16660,0.1169102296,0.0955974843,,,0.2928,0.2308,,FALSE
"Arizona Academy of Beauty-East","AZ","SW",,57,,15300,,4694,0.2535211268,0.1724137931,,,,,,FALSE
"Platt College-Arizona Automotive Institute Arizona","AZ","SW",,692,,35300,22400,9834,0.3413775767,0.3131443299,0.3994490358,0.6486486486,,,,FALSE
"Brookline College-Phoenix","AZ","SW",,1230,,21900,18300,9500,0.2092039801,0.180958013,0.3357400722,0.5119047619,0.3554,0.2423,0.2346,FALSE
"Arizona State University-Tempe","AZ","SW",0.8478,42529,25621,47700,38300,14271,0.5848558828,0.5124426661,0.6031052887,0.6705286025,0.66,0.6899,0.8711,FALSE
"Arizona Western College","AZ","SW",,6673,15407,27700,22100,4500,0.3570451436,0.2916666667,0.4615384615,0.5362318841,,,,FALSE
"University of Arizona","AZ","SW",0.8442,33509,26712,47300,36900,14000,0.6562777285,0.5790419162,0.6540460282,0.7448021462,0.6399,0.6256,0.8229,FALSE
"Southwest University of Visual Arts-Tucson","AZ","SW",,124,35552,30200,25100,32875,0.3382899628,0.2574850299,0.3870967742,0.6,0.7333,0.907,0.85,FALSE
"Central Arizona College","AZ","SW",,4976,10680,26500,24600,7000,0.2935548842,0.2274919614,0.3832116788,0.4639175258,,,,FALSE
"Charles of Italy Beauty College","AZ","SW",,43,,16100,16000,7389,0.4418604651,0.4255319149,,,,,,FALSE
"Cochise County Community College District","AZ","SW",,3404,11589,28500,23200,5000,0.4121863799,0.3382789318,0.477124183,0.6323529412,,,,FALSE
"Empire Beauty School-Flagstaff","AZ","SW",,37,,18500,16300,8028,0.2978723404,0.2254160363,0.4242424242,0.5802469136,,,,FALSE
"Empire Beauty School-Chandler","AZ","SW",,48,,18500,16300,8028,0.2978723404,0.2254160363,0.4242424242,0.5802469136,,,,FALSE
"Cortiva Institute-Tucson","AZ","SW",,99,,22100,21400,6333,0.4471153846,0.4014084507,0.5145631068,,,,,FALSE
"Avalon School of Cosmetology-Mesa","AZ","SW",,356,,19000,18500,6237,0.3393708294,0.2865853659,0.3781818182,0.5423728814,,,,FALSE
"Eastern Arizona College","AZ","SW",,4291,12647,29200,24700,,,,,,,,,FALSE
"Embry-Riddle Aeronautical University-Prescott","AZ","SW",0.6723,2712,51036,66200,47900,13750,0.6444394213,0.5212569316,0.6565860215,0.7829398324,0.626,0.6328,0.8395,FALSE
"School of Architecture at Taliesin","AZ","SW",,,,,,,,,,,,,,FALSE
"Glendale Community College","AZ","SW",,13588,11843,34500,28600,4063,0.3519480519,0.2928217822,0.4483611626,0.5168986083,,,,FALSE
"Grand Canyon University","AZ","SW",0.732,53209,31248,52700,28400,12500,0.3519825032,0.2423399976,0.4355471392,0.6571993085,0.381,0.4158,0.6466,FALSE
"GateWay Community College","AZ","SW",,4188,12180,34100,32800,5500,0.3201856148,0.2512077295,0.44473342,0.5842696629,,,,FALSE
"Mesa Community College","AZ","SW",,15775,12362,36000,29600,4500,0.3394398821,0.2702044791,0.4467281879,0.518907563,,,,FALSE
"Mohave Community College","AZ","SW",,2778,12854,27500,23200,8610,0.3657243816,0.2927818329,0.5418848168,0.6385542169,,,,FALSE
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","AZ","SW",,952,,38700,31500,12000,0.410058855,0.3260519248,0.481264637,0.6494156928,,,,FALSE
"Dine College","AZ","SW",,1399,11550,21000,15800,,,,,,0.149,,,FALSE
"Northern Arizona University","AZ","SW",0.8262,26647,26748,40100,34400,12577,0.5577914855,0.4707676665,0.5616913853,0.6762383345,0.5369,0.5455,0.7462,FALSE
"Northland Pioneer College","AZ","SW",,1235,13819,25200,19700,,,,,,,,,FALSE
"Ottawa University-Phoenix","AZ","SW",,340,,41500,36500,12500,0.4652137469,0.3535545024,0.5059952038,0.6338028169,,,,FALSE
"Phoenix College","AZ","SW",,8472,12075,31900,26300,6000,0.2458264539,0.2025377065,0.3787731256,0.4251012146,,,,FALSE
"Cortiva Institute-Scottsdale","AZ","SW",,69,,21900,23400,7600,0.5208333333,0.5,,,,,,FALSE
"Pima Community College","AZ","SW",,17246,8853,30900,25800,4750,0.3578495184,0.3055233681,0.4509695291,0.5050071531,,,,FALSE
"Pima Medical Institute-Tucson","AZ","SW",,1851,,28800,26700,8510,0.4626200015,0.394625982,0.5658866995,0.6811352254,0.6906,0.8421,0.4894,FALSE
"Pima Medical Institute-Albuquerque","NM","SW",,565,,28800,26700,8510,0.4626200015,0.394625982,0.5658866995,0.6811352254,,,,FALSE
"Prescott College","AZ","SW",0.9516,394,41957,33200,25000,14024,0.525390625,0.4472727273,0.562962963,0.6862745098,0.4127,0.3333,0.7207,FALSE
"Refrigeration School Inc","AZ","SW",,912,,41500,35400,9500,0.3662131519,0.2949152542,0.4848484848,0.606557377,,,,FALSE
"Rio Salado College","AZ","SW",,6066,10942,39500,31600,3500,0.2287994387,0.1747937894,0.3600775194,0.4127806563,,,,FALSE
"Roberto-Venn School of Luthiery","AZ","SW",,20,,24000,25700,7307,0.5769230769,0.5098039216,,,,,,FALSE
"Scottsdale Community College","AZ","SW",,5660,12661,35600,31300,4500,0.388720027,0.3101514302,0.4848484848,0.5544041451,,,,FALSE
"South Mountain Community College","AZ","SW",,2933,11975,30200,25800,4502,0.2157534247,0.1838235294,0.3159509202,0.3787878788,,,,FALSE
"Arizona Christian University","AZ","SW",0.5644,705,37562,32200,32200,10500,0.5551470588,0.3978494624,0.5952380952,0.6736842105,0.4611,0.366,0.6228,FALSE
"Universal Technical Institute of Arizona Inc","AZ","SW",,1869,,45200,35000,12000,0.4811762665,0.3886316462,0.533640023,0.7034135422,,,,FALSE
"Empire Beauty School-NW Phoenix","AZ","SW",,87,,18200,15700,7828,0.2771362587,0.24328594,0.3597883598,0.4090909091,,,,FALSE
"Yavapai College","AZ","SW",,4598,11961,28800,25400,7015,0.3660079051,0.3070953437,0.496350365,0.5617977528,,,,FALSE
"University of Arkansas at Little Rock","AR","SE",0.7933,6328,21301,34900,31200,13700,0.5772706733,0.540368006,0.5978077572,0.705372617,0.3558,0.3173,0.6855,FALSE
"University of Arkansas for Medical Sciences","AR","SE",,601,,61000,57000,14000,0.8074074074,0.7580645161,0.8412017167,0.8636363636,,,,FALSE
"Arkansas Baptist College","AR","SE",,525,22502,21800,19300,11000,0.2544080605,0.2515060241,,,0.1973,0.0212,0.3962,FALSE
"Arkansas Beauty School-Little Rock","AR","SE",,125,,14000,,6333,0.3188405797,,,,,,,FALSE
"Arkansas Beauty College","AR","SE",,15,,,,5500,0.4186046512,0.3333333333,,,,,,FALSE
"Lyon College","AR","SE",0.4986,655,38173,38600,30400,13250,0.6743295019,0.5688073394,0.7530864198,0.7464788732,0.5064,0.3865,0.6632,FALSE
"Arkansas College of Barbering and Hair Design","AR","SE",,128,,15300,14600,9500,0.3706896552,0.375,,,,,,FALSE
"Arthur's Beauty College Inc-Fort Smith","AR","SE",,31,,17300,,9224,0.320754717,,,,,,,FALSE
"University of Arkansas","AR","SE",0.7747,23121,22750,44900,37100,14596,0.6712301975,0.5870588235,0.6839378238,0.7372926699,0.6355,0.6603,0.8301,FALSE
"University of Arkansas at Pine Bluff","AR","SE",0.4435,2467,17689,27200,21200,12624,0.3661573288,0.3435314685,0.385106383,0.477124183,0.2868,0.2749,0.706,FALSE
"Arkansas State University-Beebe","AR","SE",,2473,12491,29400,24000,4750,0.5303210464,0.4473684211,0.5704467354,0.7045454545,,,,FALSE
"Arkansas State University-Main Campus","AR","SE",0.7721,8623,21375,32200,27500,15000,0.5756867329,0.5001740341,0.6524777637,0.7157434402,0.4788,0.4372,0.7454,FALSE
"Arkansas Tech University","AR","SE",0.9024,7896,18627,34100,28900,11490,0.5645795127,0.4572890026,0.6507413509,0.7268518519,0.3983,0.4423,0.7093,FALSE
"University of Arkansas at Monticello","AR","SE",,2412,17653,31500,23900,7749,0.4455292909,0.3721444363,0.5934343434,0.6580310881,0.2436,0.2242,0.5683,FALSE
"Arthur's Beauty College Inc-Jacksonville","AR","SE",,36,,15300,15800,9500,0.4712643678,0.4601769912,,,,,,FALSE
"Baptist Health College Little Rock","AR","SE",0.6667,648,24473,47200,47300,9500,0.7012987013,0.6407506702,0.7487437186,0.8099173554,,,,FALSE
"Black River Technical College","AR","SE",,1271,12045,26100,22500,6213,0.4469835466,0.3909090909,0.5693950178,0.6511627907,,,,FALSE
"University of Central Arkansas","AR","SE",0.911,8906,21350,38300,29600,13000,0.6233618234,0.5401844532,0.6597040905,0.7236061684,0.4118,0.4543,0.7312,FALSE
"Central Baptist College","AR","SE",0.6074,663,25303,35300,30000,12000,0.5753424658,0.5028901734,0.6320754717,0.6511627907,0.2664,0.3205,0.5862,FALSE
"Cossatot Community College of the University of Arkansas","AR","SE",,903,10512,23100,20600,,,,,,,,,FALSE
"Crowley's Ridge College","AR","SE",,178,20912,26000,24000,9500,0.5267857143,,0.5365853659,,0.3333,0.3158,0.6076,FALSE
"Crowley's Ridge Technical Institute","AR","SE",,168,9219,19300,16000,,,,,,,,,FALSE
"East Arkansas Community College","AR","SE",,683,10598,22700,17900,3000,0.3229166667,0.3015873016,,,,,,FALSE
"Eastern College of Health Vocations-Little Rock","AR","SE",,121,,21700,18000,4154,0.412,0.3907496013,0.5052631579,,,,,FALSE
"Imagine-Paul Mitchell Partner School","AR","SE",,382,,,13000,9833,0.4253578732,0.3726708075,0.5,0.5918367347,,,,FALSE
"National Park College","AR","SE",,1869,13072,25100,22100,7131,0.3684210526,0.3382594417,0.474137931,0.6078431373,,,,FALSE
"University of Arkansas Community College-Batesville","AR","SE",,921,12896,25500,23300,6388,0.472406181,0.408496732,,,,,,FALSE
"Harding University","AR","SE",0.7462,3953,29827,40900,33400,20500,0.7277023036,0.6126760563,0.7295238095,0.7924528302,0.6691,0.651,0.8355,FALSE
"Henderson State University","AR","SE",0.9055,2996,20429,35700,27000,12350,0.561760841,0.4903225806,0.6183673469,0.6692607004,0.3398,0.3573,0.645,FALSE
"Hendrix College","AR","SE",0.7217,1192,59901,39700,29200,20043,0.7620320856,0.6956521739,0.7933884298,0.7663043478,0.7264,0.7011,0.842,FALSE
"Hot Springs Beauty College","AR","SE",,28,,,,9725,0.3714285714,,,,,,,FALSE
"Jefferson Regional Medical Center School of Nursing","AR","SE",,70,,,,8000,,,,,,,,FALSE
"John Brown University","AR","SE",0.7715,1575,38834,45800,36900,18025,0.7462871287,0.6419753086,0.7975077882,0.7827868852,0.6962,0.6428,0.8102,FALSE
"Career Academy of Hair Design","AR","SE",,211,,20000,14600,6365,0.3684210526,0.325,,,,,,FALSE
"Academy of Salon and Spa","AR","SE",,53,,,13500,6333,0.396039604,0.3521126761,,,,,,FALSE
"Arkansas State University Mid-South","AR","SE",,657,14384,22500,18700,,,,,,,,,FALSE
"Arkansas Northeastern College","AR","SE",,881,10480,25700,22100,3750,0.4390243902,,,,,,,FALSE
"New Tyler Barber College Inc","AR","SE",,38,,15900,,9500,0.3962264151,,,,,,,FALSE
"North Arkansas College","AR","SE",,1393,10089,25600,23000,5767,0.4002890173,0.3507751938,,,,,,FALSE
"Northwest Technical Institute","AR","SE",,237,8201,29800,31800,,,,,,,,,FALSE
"Ouachita Baptist University","AR","SE",0.636,1546,37349,41200,30600,14778,0.6861471861,0.5,0.6538461538,0.7897196262,0.6407,0.6853,0.8107,FALSE
"Arkansas State University Three Rivers","AR","SE",,566,12338,27500,23400,6500,0.4488448845,0.3917525773,,,,,,FALSE
"Ozarka College","AR","SE",,761,12416,23800,18300,5875,0.3554083885,0.3102040816,,,,,,FALSE
"University of the Ozarks","AR","SE",0.5232,862,35136,33900,25900,5500,0.59030837,0.4868421053,0.6206896552,0.671875,0.5015,0.427,0.6875,FALSE
"University of Arkansas Community College-Morrilton","AR","SE",0.7415,1720,10389,27500,24800,5500,0.4827586207,0.4226190476,0.534562212,0.6923076923,,,,FALSE
"Philander Smith College","AR","SE",,1000,25290,24400,21400,9500,0.3868921776,0.3705882353,0.4380952381,,0.3543,0.4303,0.6381,FALSE
"Phillips Community College of the University of Arkansas","AR","SE",,710,10501,22400,18900,3500,0.3214285714,0.2391304348,,,,,,FALSE
"Southeast Arkansas College","AR","SE",,947,12149,26700,20700,4844,0.4023972603,0.3529411765,,,,,,FALSE
"Professional Cosmetology Education Center","AR","SE",,30,,,,9833,0.4107142857,0.380952381,,,,,,FALSE
"University of Arkansas-Pulaski Technical College","AR","SE",,3705,16796,27700,22100,9250,0.4159965537,0.3947895792,0.4783347494,0.5604026846,,,,FALSE
"University of Arknsas Hope-Texarkana","AR","SE",,1542,13574,24400,21300,3500,0.5,0.3953488372,,,,,,FALSE
"University of Arkansas Community College Rich Mountain","AR","SE",,449,11854,20800,18400,,,,,,,,,FALSE
"Paul Mitchell the School-Arkansas","AR","SE",,95,,,14800,9833,0.7155963303,0.6885245902,,,,,,FALSE
"Searcy Beauty College","AR","SE",,75,,13400,11600,6599,0.328358209,0.2857142857,,,,,,FALSE
"Shorter College","AR","SE",,569,21618,,,9500,0.247311828,,,,,,,FALSE
"Williams Baptist University","AR","SE",0.5639,460,28424,33100,28400,12500,0.6174242424,0.5363636364,0.6944444444,0.6304347826,0.4015,0.3822,0.6,FALSE
"South Arkansas Community College","AR","SE",,1143,12743,29000,24500,7739,0.4453507341,0.3873873874,0.578125,0.6585365854,,,,FALSE
"Southern Arkansas University Main Campus","AR","SE",0.6878,3203,22116,35700,28200,11000,0.4865079365,0.4269972452,0.5316804408,0.6432748538,0.3817,0.3718,0.6569,FALSE
"Southern Arkansas University Tech","AR","SE",,733,18368,26700,24000,5500,0.3901234568,0.3418181818,,,,,,FALSE
"Velvatex College of Beauty Culture","AR","SE",,16,,,,9500,,,,,,,,FALSE
"University of Arkansas-Fort Smith","AR","SE",,5235,16434,31000,28100,8306,0.5166270784,0.4294692737,0.6061776062,0.690851735,0.3068,0.2875,0.6545,FALSE
"Academy of Art University","CA","West",,6898,39735,38600,26900,12877,0.3587936866,0.2914926931,0.3748717949,0.5312024353,0.398,0.3801,0.7703,FALSE
"Academy of Chinese Culture and Health Sciences","CA","West",,,,,,,,,,,,,,FALSE
"The Academy of Radio and TV Broadcasting","CA","West",,26,,31000,25100,9500,0.2657342657,0.2314049587,,,,,,FALSE
"Avalon School of Cosmetology-Alameda","CA","West",,118,,20000,19400,6213,0.2958801498,0.270531401,,,,,,FALSE
"College of Alameda","CA","West",,4975,13680,34200,24500,9108,0.2755102041,0.2179487179,,,,,,FALSE
"Allan Hancock College","CA","West",,9045,10784,30400,24000,6834,0.2916666667,0.2424242424,,,,,,FALSE
"American Academy of Dramatic Arts-Los Angeles","CA","West",0.7892,263,50100,32700,18600,12000,0.4113475177,0.3040540541,0.3787878788,0.6764705882,,,,FALSE
"American Baptist Seminary of the West","CA","West",,,,,,,,,,,,,,FALSE
"American Film Institute Conservatory","CA","West",,,,,,,,,,,,,,FALSE
"American Beauty College","CA","West",,129,,,,5405,0.5408163265,0.4939759036,,,,,,FALSE
"American Career College-Los Angeles","CA","West",,1284,,31800,24600,9500,0.3423601502,0.3050669467,0.4436619718,0.50390625,,,,FALSE
"American Conservatory Theater","CA","West",,0,49581,,,,,,,,,,,FALSE
"American River College","CA","West",,28573,11961,32000,23200,9334,0.2558210784,0.2311594203,0.4004739336,0.3414634146,,,,FALSE
"Antelope Valley College","CA","West",,12080,13084,27100,19600,6500,0.1919156415,0.1710156564,0.2909090909,0.5063291139,0.2508,,,FALSE
"Art Center College of Design","CA","West",0.6765,1987,64097,53600,40300,28250,0.6971830986,0.6719160105,0.6875,0.7633136095,0.6967,0.7419,0.8116,FALSE
"Associated Technical College-Los Angeles","CA","West",,367,,23000,15000,9500,0.2374768089,0.226744186,,,,,,FALSE
"Associated Technical College-San Diego","CA","West",,98,,19600,16700,9500,0.1976744186,,,,,,,FALSE
"Azusa Pacific University","CA","West",0.6851,5545,51578,51100,42000,18970,0.6398247056,0.4932170543,0.6407137064,0.7481962482,0.6466,0.7079,0.8211,FALSE
"Bakersfield College","CA","West",,19178,12467,29800,22400,8299,0.2836676218,0.2524916944,0.4867256637,0.4516129032,0.2025,,,FALSE
"Barstow Community College","CA","West",,2721,16152,29900,19900,,,,,,,,,FALSE
"Bellus Academy-Chula Vista","CA","West",,202,,18200,17100,9180,0.2328244275,0.1952380952,,,,,,FALSE
"Bethesda University","CA","West",,238,17255,,,11536,0.380952381,,,,0.1639,0.4651,0.3798,FALSE
"Biola University","CA","West",0.7347,4005,53611,44500,34500,20000,0.7403017241,0.6212765957,0.7330016584,0.8173690932,0.7316,0.724,0.8643,FALSE
"Brownson Technical School","CA","West",,61,,48400,39200,9500,0.6218487395,0.5616438356,,,,,,FALSE
"Bryan University","AZ","SW",,1075,23758,31900,31100,14250,0.314059647,0.2570093458,0.3976470588,0.4864864865,0.2312,,0.5126,FALSE
"Butte College","CA","West",,9942,11336,31300,23800,8248,0.3354755784,0.284543965,0.4971098266,0.5732484076,,,,FALSE
"California Institute of Integral Studies","CA","West",,61,,,31700,18750,0.4609375,0.4390243902,,,,,,FALSE
"Cabrillo College","CA","West",,10164,14848,33300,24300,9500,0.3925373134,0.3615819209,0.4772727273,0.568627451,,,,FALSE
"California Baptist University","CA","West",0.7955,7811,44746,42600,34300,21522,0.5394831299,0.4062176166,0.538377193,0.6820682068,0.5667,0.6276,0.7708,FALSE
"California College of the Arts","CA","West",0.8818,1453,64030,37200,29400,25000,0.6337792642,0.562992126,0.64,0.7337278107,0.6065,0.6091,0.8225,FALSE
"University of California-Hastings College of Law","CA","West",,,,114700,86100,,,,,,,,,FALSE
"California Institute of Technology","CA","West",0.0662,948,68901,85900,54500,8013,,,,,0.9071,0.9322,0.9809,FALSE
"California Lutheran University","CA","West",0.7147,3054,56491,54200,38500,18000,0.7060260586,0.5590062112,0.6868131868,0.8062730627,0.7363,0.7093,0.8373,FALSE
"California Polytechnic State University-San Luis Obispo","CA","West",0.3017,21047,27073,66900,52100,17000,0.8668037469,0.8158415842,0.848615917,0.8995929444,0.8194,0.7939,0.9442,FALSE
