INSTNM,STABBR,REGION,ADM_RATE,UGDS,COSTT4_A,MD_EARN_WNE_P10,MD_EARN_WNE_P6,DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_4_POOLED_SUPP,RET_FT4_POOLED_SUPP,isNCF
Samford University,AL,SE,0.8319,3364,44896,49900,37500,15832,0.776754891,0.651960784,0.766666667,0.848101266,0.7415,0.7101,0.8783,FALSE
Selma University,AL,SE,,311,,,,5500,0.117936118,0.110236221,,,0.5535,0.1522,0.5592,FALSE
Shelton State Community College,AL,SE,,4230,11414,27100,22700,,,,,,,,,FALSE
Snead State Community College,AL,SE,,1891,10704,27800,22400,3529.5,0.353070175,0.262987013,0.550847458,0.5,,,,FALSE
University of South Alabama,AL,SE,0.8208,10712,18857,37800,31500,15000,0.469591994,0.381101132,0.50984127,0.623584906,0.3896,0.413,0.7533,FALSE
Spring Hill College,AL,SE,0.4568,1375,50787,45100,33600,20500,0.607201309,0.470319635,0.605405405,0.753623188,0.5268,0.5594,0.7747,FALSE
Stillman College,AL,SE,0.4812,633,20205,28200,22800,12500,0.252659575,0.204081633,0.330143541,0.396226415,0.2334,0.2482,0.4396,FALSE
Talladega College,AL,SE,,782,22314,21900,20300,22463.5,0.178918169,0.158379374,,,0.4675,0.3564,0.571,FALSE
H Councill Trenholm State Community College,AL,SE,,1610,11798,23100,21800,,,,,,,,,FALSE
Troy University,AL,SE,0.8812,13634,18585,37000,30400,14250,0.34985319,0.270473538,0.439875605,0.615450644,0.382,0.377,0.7208,FALSE
Tuskegee University,AL,SE,0.5032,2833,36673,35500,28500,25432.5,0.496017379,0.468468469,0.551569507,0.472118959,0.4907,0.4695,0.6931,FALSE
United States Sports Academy,AL,SE,,88,,,33600,15344,0.443609023,0.397260274,,,,,,FALSE
Bevill State Community College,AL,SE,,3029,13164,28100,23300,,,,,,,,,FALSE
University of Alaska Anchorage,AK,West,0.8283,11332,19126,45400,36000,9597,0.547739673,0.448861099,0.602259215,0.654830718,0.2432,0.3307,0.6983,FALSE
Alaska Bible College,AK,West,,31,19560,,,,,,,,,,,FALSE
University of Alaska Fairbanks,AK,West,0.767,4910,17168,38700,30700,9500,0.547265987,0.422594142,0.598290598,0.714,0.2761,0.4761,0.7626,FALSE
